DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Adaptive2/halfing,1000000,4000000,0.020,0.600,1429406.527,265614.136
Adaptive2/halfing:cross_node_read,1000000,4000000,0.020,0.600,1660940.333,936.281
Adaptive2/halfing:this_node_read,1000000,4000000,0.020,0.600,54234199.333,762740.650
Adaptive2/halfing:cross_node_write,1000000,4000000,0.020,0.600,15397.667,111.514
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.020,0.600,10430634.833,9334.242
Adaptive2/halfing:this_node_write,1000000,4000000,0.020,0.600,2544949.667,454576.844
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4498459.833,313.847
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1501311.667,449.872
Adaptive2/halfing:union_requests,1000000,4000000,0.020,0.600,4000164.500,141.860
Adaptive3/halfing,1000000,4000000,0.020,0.600,994292.145,222414.693
Adaptive3/halfing:cross_node_read,1000000,4000000,0.020,0.600,3825801.000,117680.917
Adaptive3/halfing:this_node_read,1000000,4000000,0.020,0.600,44393239.667,1222258.930
Adaptive3/halfing:cross_node_write,1000000,4000000,0.020,0.600,18309.167,148.727
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.020,0.600,23402168.000,621420.336
Adaptive3/halfing:this_node_write,1000000,4000000,0.020,0.600,2622913.000,550987.362
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4498361.333,1143.157
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1501410.167,1001.434
Adaptive3/halfing:union_requests,1000000,4000000,0.020,0.600,4000164.500,141.860
Adaptive2/squashing,1000000,4000000,0.020,0.600,1431732.225,218368.991
Adaptive2/squashing:cross_node_read,1000000,4000000,0.020,0.600,1723162.833,4658.339
Adaptive2/squashing:this_node_read,1000000,4000000,0.020,0.600,54851307.667,1100929.214
Adaptive2/squashing:cross_node_write,1000000,4000000,0.020,0.600,20100.167,174.183
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.020,0.600,10370385.667,9621.007
Adaptive2/squashing:this_node_write,1000000,4000000,0.020,0.600,2583505.667,522906.612
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.020,0.600,4499094.500,361.518
