DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive3/halfing:same_set_requests_false,2,1000000,4000000,0.02,0.2,true,128.000,140.217
Adaptive3/halfing:union_requests,2,1000000,4000000,0.02,0.2,true,1332820.500,443.108
Adaptive2/squashing,0,1000000,4000000,0.02,0.2,true,1613067.591,362324.463
Adaptive2/squashing:cross_node_read,0,1000000,4000000,0.02,0.2,true,766076.500,1002746.292
Adaptive2/squashing:this_node_read,0,1000000,4000000,0.02,0.2,true,7264970.833,672254.549
Adaptive2/squashing:cross_node_write,0,1000000,4000000,0.02,0.2,true,23.667,57.971
Adaptive2/squashing:this_node_read_success,0,1000000,4000000,0.02,0.2,true,488320.500,522548.292
Adaptive2/squashing:this_node_write,0,1000000,4000000,0.02,0.2,true,28.667,70.219
Adaptive2/squashing:global_data_read_write,0,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1000000,4000000,0.02,0.2,true,332571.833,326.156
Adaptive2/squashing:same_set_requests_false,0,1000000,4000000,0.02,0.2,true,240.667,215.370
Adaptive2/squashing:union_requests,0,1000000,4000000,0.02,0.2,true,1333779.500,233.878
Adaptive2/squashing,1,1000000,4000000,0.02,0.2,true,1645164.715,384227.808
Adaptive2/squashing:cross_node_read,1,1000000,4000000,0.02,0.2,true,765119.500,1005731.200
Adaptive2/squashing:this_node_read,1,1000000,4000000,0.02,0.2,true,7260654.500,677822.341
Adaptive2/squashing:cross_node_write,1,1000000,4000000,0.02,0.2,true,2.167,5.307
Adaptive2/squashing:this_node_read_success,1,1000000,4000000,0.02,0.2,true,494514.667,515964.103
Adaptive2/squashing:this_node_write,1,1000000,4000000,0.02,0.2,true,2.000,4.899
Adaptive2/squashing:global_data_read_write,1,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,4000000,0.02,0.2,true,332136.500,270.944
Adaptive2/squashing:same_set_requests_false,1,1000000,4000000,0.02,0.2,true,233.000,185.921
Adaptive2/squashing:union_requests,1,1000000,4000000,0.02,0.2,true,1334222.500,170.342
Adaptive2/squashing,2,1000000,4000000,0.02,0.2,true,1645649.928,361157.912
