DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Adaptive2/halfing,1000000,4000000,0.020,0.600,1670395.069,358099.993
Adaptive2/halfing:cross_node_read,1000000,4000000,0.020,0.600,1351709.833,3573.847
Adaptive2/halfing:this_node_read,1000000,4000000,0.020,0.600,48515559.833,919152.472
Adaptive2/halfing:cross_node_write,1000000,4000000,0.020,0.600,18841.833,129.354
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.020,0.600,4967783.667,11921.216
Adaptive2/halfing:this_node_write,1000000,4000000,0.020,0.600,2923283.333,609614.715
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4495755.500,3229.114
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1504039.500,2623.990
Adaptive2/halfing:union_requests,1000000,4000000,0.020,0.600,4000141.000,605.781
Adaptive3/halfing,1000000,4000000,0.020,0.600,1078901.569,187050.648
Adaptive3/halfing:cross_node_read,1000000,4000000,0.020,0.600,3750872.667,94789.693
Adaptive3/halfing:this_node_read,1000000,4000000,0.020,0.600,44242943.333,1131538.514
Adaptive3/halfing:cross_node_write,1000000,4000000,0.020,0.600,14995.500,41.827
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.020,0.600,23355538.833,573401.865
Adaptive3/halfing:this_node_write,1000000,4000000,0.020,0.600,2554130.500,502149.907
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4500137.833,622.872
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1499657.167,131.293
Adaptive3/halfing:union_requests,1000000,4000000,0.020,0.600,4000141.000,605.781
Adaptive2/squashing,1000000,4000000,0.020,0.600,1343036.573,189146.320
Adaptive2/squashing:cross_node_read,1000000,4000000,0.020,0.600,1294828.000,1486.728
Adaptive2/squashing:this_node_read,1000000,4000000,0.020,0.600,48261783.167,732012.879
Adaptive2/squashing:cross_node_write,1000000,4000000,0.020,0.600,15079.333,45.231
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.020,0.600,4983223.500,9723.884
Adaptive2/squashing:this_node_write,1000000,4000000,0.020,0.600,2387953.667,354712.098
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.020,0.600,4495625.167,1744.060
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.020,0.600,1504169.833,1141.540
Adaptive2/squashing:union_requests,1000000,4000000,0.020,0.600,4000141.000,605.781
Adaptive3/squashing,1000000,4000000,0.020,0.600,958678.574,259117.576
Adaptive3/squashing:cross_node_read,1000000,4000000,0.020,0.600,3541332.500,5617.335
Adaptive3/squashing:this_node_read,1000000,4000000,0.020,0.600,45428052.500,1804661.193
Adaptive3/squashing:cross_node_write,1000000,4000000,0.020,0.600,20350.500,126.612
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.020,0.600,24053449.833,963937.787
Adaptive3/squashing:this_node_write,1000000,4000000,0.020,0.600,2908851.500,723210.396
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.020,0.600,4499776.167,2053.160
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.020,0.600,1500018.833,1447.579
Adaptive3/squashing:union_requests,1000000,4000000,0.020,0.600,4000141.000,605.781
Adaptive2/halfing,1000000,16000000,0.020,0.600,2516260.518,448699.517
Adaptive2/halfing:cross_node_read,1000000,16000000,0.020,0.600,2233202.667,4239.179
Adaptive2/halfing:this_node_read,1000000,16000000,0.020,0.600,167778763.167,88415.342
Adaptive2/halfing:cross_node_write,1000000,16000000,0.020,0.600,15245.000,266.481
Adaptive2/halfing:this_node_read_success,1000000,16000000,0.020,0.600,5302886.833,3908.646
Adaptive2/halfing:this_node_write,1000000,16000000,0.020,0.600,2347933.833,43292.328
Adaptive2/halfing:global_data_read_write,1000000,16000000,0.020,0.600,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,16000000,0.020,0.600,22494975.500,3188.153
Adaptive2/halfing:same_set_requests_false,1000000,16000000,0.020,0.600,1503091.500,1187.557
Adaptive2/halfing:union_requests,1000000,16000000,0.020,0.600,16001933.000,4347.822
Adaptive3/halfing,1000000,16000000,0.020,0.600,1350762.716,322593.013
Adaptive3/halfing:cross_node_read,1000000,16000000,0.020,0.600,13343627.833,3367.845
Adaptive3/halfing:this_node_read,1000000,16000000,0.020,0.600,146050751.333,131545.284
Adaptive3/halfing:cross_node_write,1000000,16000000,0.020,0.600,15151.333,206.991
Adaptive3/halfing:this_node_read_success,1000000,16000000,0.020,0.600,68037636.500,57215.893
Adaptive3/halfing:this_node_write,1000000,16000000,0.020,0.600,2490737.333,53979.927
Adaptive3/halfing:global_data_read_write,1000000,16000000,0.020,0.600,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,16000000,0.020,0.600,22498471.833,2752.838
Adaptive3/halfing:same_set_requests_false,1000000,16000000,0.020,0.600,1499595.167,1596.434
Adaptive3/halfing:union_requests,1000000,16000000,0.020,0.600,16001933.000,4347.822
Adaptive2/squashing,1000000,16000000,0.020,0.600,2300641.909,560949.876
Adaptive2/squashing:cross_node_read,1000000,16000000,0.020,0.600,2237842.333,17138.976
Adaptive2/squashing:this_node_read,1000000,16000000,0.020,0.600,168630519.500,725942.322
