DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual:this_node_write,1000000,16000000,0.020,0.200,0.000,0.000
Usual:global_data_read_write,1000000,16000000,0.020,0.200,0.000,0.000
Usual:same_set_requests_true,1000000,16000000,0.020,0.200,3750688.000,449.739
Usual:same_set_requests_false,1000000,16000000,0.020,0.200,250243.000,1103.823
Usual:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
ParallelUnions/halfing,1000000,16000000,0.020,0.200,2635433.090,322519.185
ParallelUnions/halfing:cross_node_read,1000000,16000000,0.020,0.200,1000094.833,33.175
ParallelUnions/halfing:this_node_read,1000000,16000000,0.020,0.200,70849232.167,724736.528
ParallelUnions/halfing:cross_node_write,1000000,16000000,0.020,0.200,1999998.000,0.000
ParallelUnions/halfing:this_node_read_success,1000000,16000000,0.020,0.200,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,16000000,0.020,0.200,3469731.167,302912.536
ParallelUnions/halfing:global_data_read_write,1000000,16000000,0.020,0.200,2001547.333,192.557
ParallelUnions/halfing:same_set_requests_true,1000000,16000000,0.020,0.200,3750779.000,305.194
ParallelUnions/halfing:same_set_requests_false,1000000,16000000,0.020,0.200,250152.000,959.262
ParallelUnions/halfing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
Adaptive2/halfing,1000000,16000000,0.020,0.200,2190882.155,303169.561
Adaptive2/halfing:cross_node_read,1000000,16000000,0.020,0.200,1417929.667,58469.270
Adaptive2/halfing:this_node_read,1000000,16000000,0.020,0.200,86821394.000,254879.448
Adaptive2/halfing:cross_node_write,1000000,16000000,0.020,0.200,18675.167,136.435
Adaptive2/halfing:this_node_read_success,1000000,16000000,0.020,0.200,4252066.667,48229.059
Adaptive2/halfing:this_node_write,1000000,16000000,0.020,0.200,2248859.667,107303.895
Adaptive2/halfing:global_data_read_write,1000000,16000000,0.020,0.200,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,16000000,0.020,0.200,3750478.333,443.992
Adaptive2/halfing:same_set_requests_false,1000000,16000000,0.020,0.200,250452.667,1100.840
Adaptive2/halfing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
Adaptive3/halfing,1000000,16000000,0.020,0.200,1825902.796,332305.889
Adaptive3/halfing:cross_node_read,1000000,16000000,0.020,0.200,3147866.500,58190.495
Adaptive3/halfing:this_node_read,1000000,16000000,0.020,0.200,83317119.500,245555.447
Adaptive3/halfing:cross_node_write,1000000,16000000,0.020,0.200,19222.667,397.425
Adaptive3/halfing:this_node_read_success,1000000,16000000,0.020,0.200,14873870.833,129116.227
Adaptive3/halfing:this_node_write,1000000,16000000,0.020,0.200,2371374.000,119163.701
Adaptive3/halfing:global_data_read_write,1000000,16000000,0.020,0.200,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,16000000,0.020,0.200,3750961.333,422.206
Adaptive3/halfing:same_set_requests_false,1000000,16000000,0.020,0.200,249969.667,1076.967
Adaptive3/halfing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
ParallelUnions/squashing,1000000,16000000,0.020,0.200,2161563.599,352460.249
ParallelUnions/squashing:cross_node_read,1000000,16000000,0.020,0.200,1000138.667,27.427
ParallelUnions/squashing:this_node_read,1000000,16000000,0.020,0.200,71905036.667,355846.610
ParallelUnions/squashing:cross_node_write,1000000,16000000,0.020,0.200,1999998.000,0.000
ParallelUnions/squashing:this_node_read_success,1000000,16000000,0.020,0.200,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,16000000,0.020,0.200,3967671.500,144914.065
ParallelUnions/squashing:global_data_read_write,1000000,16000000,0.020,0.200,2001984.833,179.381
ParallelUnions/squashing:same_set_requests_true,1000000,16000000,0.020,0.200,3750753.000,564.500
ParallelUnions/squashing:same_set_requests_false,1000000,16000000,0.020,0.200,250178.000,1220.992
ParallelUnions/squashing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
Adaptive2/squashing,1000000,16000000,0.020,0.200,1996718.449,397093.304
Adaptive2/squashing:cross_node_read,1000000,16000000,0.020,0.200,1596061.500,121415.691
Adaptive2/squashing:this_node_read,1000000,16000000,0.020,0.200,88509213.333,528066.623
Adaptive2/squashing:cross_node_write,1000000,16000000,0.020,0.200,17391.167,195.728
Adaptive2/squashing:this_node_read_success,1000000,16000000,0.020,0.200,4216288.333,39145.087
Adaptive2/squashing:this_node_write,1000000,16000000,0.020,0.200,2795255.167,295899.816
Adaptive2/squashing:global_data_read_write,1000000,16000000,0.020,0.200,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,16000000,0.020,0.200,3749019.167,247.815
Adaptive2/squashing:same_set_requests_false,1000000,16000000,0.020,0.200,251911.833,439.514
Adaptive2/squashing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
Adaptive3/squashing,1000000,16000000,0.020,0.200,1858030.586,421544.216
Adaptive3/squashing:cross_node_read,1000000,16000000,0.020,0.200,3129872.500,41825.286
Adaptive3/squashing:this_node_read,1000000,16000000,0.020,0.200,83872151.167,176484.646
Adaptive3/squashing:cross_node_write,1000000,16000000,0.020,0.200,18227.833,726.843
Adaptive3/squashing:this_node_read_success,1000000,16000000,0.020,0.200,14957616.500,12108.352
Adaptive3/squashing:this_node_write,1000000,16000000,0.020,0.200,2452498.000,69657.417
Adaptive3/squashing:global_data_read_write,1000000,16000000,0.020,0.200,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,16000000,0.020,0.200,3750977.167,330.899
Adaptive3/squashing:same_set_requests_false,1000000,16000000,0.020,0.200,249953.833,982.392
Adaptive3/squashing:union_requests,1000000,16000000,0.020,0.200,15999069.000,657.267
Usual,1000000,64000000,0.020,0.200,3476846.674,485800.292
Usual:cross_node_read,1000000,64000000,0.020,0.200,0.000,0.000
Usual:this_node_read,1000000,64000000,0.020,0.200,0.000,0.000
Usual:cross_node_write,1000000,64000000,0.020,0.200,0.000,0.000
Usual:this_node_read_success,1000000,64000000,0.020,0.200,0.000,0.000
Usual:this_node_write,1000000,64000000,0.020,0.200,0.000,0.000
Usual:global_data_read_write,1000000,64000000,0.020,0.200,0.000,0.000
Usual:same_set_requests_true,1000000,64000000,0.020,0.200,15750250.167,312.397
Usual:same_set_requests_false,1000000,64000000,0.020,0.200,249163.333,332.326
Usual:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
ParallelUnions/halfing,1000000,64000000,0.020,0.200,2823484.823,598016.946
ParallelUnions/halfing:cross_node_read,1000000,64000000,0.020,0.200,1000089.000,17.922
ParallelUnions/halfing:this_node_read,1000000,64000000,0.020,0.200,263692550.167,583165.830
ParallelUnions/halfing:cross_node_write,1000000,64000000,0.020,0.200,1999998.000,0.000
ParallelUnions/halfing:this_node_read_success,1000000,64000000,0.020,0.200,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,64000000,0.020,0.200,3754925.500,239544.167
ParallelUnions/halfing:global_data_read_write,1000000,64000000,0.020,0.200,2001596.833,250.151
ParallelUnions/halfing:same_set_requests_true,1000000,64000000,0.020,0.200,15750015.500,257.891
ParallelUnions/halfing:same_set_requests_false,1000000,64000000,0.020,0.200,249398.000,367.827
ParallelUnions/halfing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
Adaptive2/halfing,1000000,64000000,0.020,0.200,2550834.133,616557.008
Adaptive2/halfing:cross_node_read,1000000,64000000,0.020,0.200,3867789.833,69463.430
Adaptive2/halfing:this_node_read,1000000,64000000,0.020,0.200,329245181.167,75183.870
Adaptive2/halfing:cross_node_write,1000000,64000000,0.020,0.200,17316.500,66.582
Adaptive2/halfing:this_node_read_success,1000000,64000000,0.020,0.200,4994568.500,12688.255
Adaptive2/halfing:this_node_write,1000000,64000000,0.020,0.200,2720169.667,38536.176
Adaptive2/halfing:global_data_read_write,1000000,64000000,0.020,0.200,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,64000000,0.020,0.200,15748473.667,84.256
Adaptive2/halfing:same_set_requests_false,1000000,64000000,0.020,0.200,250939.833,693.132
Adaptive2/halfing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
Adaptive3/halfing,1000000,64000000,0.020,0.200,2221607.419,490523.516
Adaptive3/halfing:cross_node_read,1000000,64000000,0.020,0.200,10755517.833,110696.548
Adaptive3/halfing:this_node_read,1000000,64000000,0.020,0.200,313057787.167,248583.755
Adaptive3/halfing:cross_node_write,1000000,64000000,0.020,0.200,17635.333,159.482
Adaptive3/halfing:this_node_read_success,1000000,64000000,0.020,0.200,45404118.000,35755.647
Adaptive3/halfing:this_node_write,1000000,64000000,0.020,0.200,2806738.500,60790.526
Adaptive3/halfing:global_data_read_write,1000000,64000000,0.020,0.200,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,64000000,0.020,0.200,15749568.667,220.342
Adaptive3/halfing:same_set_requests_false,1000000,64000000,0.020,0.200,249844.833,840.014
Adaptive3/halfing:union_requests,1000000,64000000,0.020,0.200,64000586.500,622.761
ParallelUnions/squashing,1000000,64000000,0.020,0.200,2888334.565,420824.610
ParallelUnions/squashing:cross_node_read,1000000,64000000,0.020,0.200,1000110.167,50.471
ParallelUnions/squashing:this_node_read,1000000,64000000,0.020,0.200,263916214.667,894656.855
ParallelUnions/squashing:cross_node_write,1000000,64000000,0.020,0.200,1999998.000,0.000
ParallelUnions/squashing:this_node_read_success,1000000,64000000,0.020,0.200,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,64000000,0.020,0.200,3913940.500,384893.276
ParallelUnions/squashing:global_data_read_write,1000000,64000000,0.020,0.200,2001758.500,473.872
ParallelUnions/squashing:same_set_requests_true,1000000,64000000,0.020,0.200,15750229.333,107.262
ParallelUnions/squashing:same_set_requests_false,1000000,64000000,0.020,0.200,249184.167,521.092
