DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive3/halfing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3996928.500,116.665
Adaptive3/halfing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,2664.000,116.117
Adaptive3/halfing:union_requests,1,1000000,400,0.02,0.9999,true,407.500,0.548
Adaptive3/halfing,2,1000000,400,0.02,0.9999,true,972629.188,324104.900
Adaptive3/halfing:cross_node_read,2,1000000,400,0.02,0.9999,true,2119628.500,1040.535
Adaptive3/halfing:this_node_read,2,1000000,400,0.02,0.9999,true,12696935.333,40508.195
Adaptive3/halfing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,2,1000000,400,0.02,0.9999,true,10575628.500,39918.291
Adaptive3/halfing:this_node_write,2,1000000,400,0.02,0.9999,true,86654.667,358.868
Adaptive3/halfing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3997002.000,44.913
Adaptive3/halfing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,2600.000,36.150
Adaptive3/halfing:union_requests,2,1000000,400,0.02,0.9999,true,398.000,8.764
Adaptive2/squashing,0,1000000,4000000,0.02,0,true,743843.100,108533.385
Adaptive2/squashing:cross_node_read,0,1000000,4000000,0.02,0,true,4848425.833,616198.006
Adaptive2/squashing:this_node_read,0,1000000,4000000,0.02,0,true,35396558.500,620495.560
Adaptive2/squashing:cross_node_write,0,1000000,4000000,0.02,0,true,16729.500,26.696
Adaptive2/squashing:this_node_read_success,0,1000000,4000000,0.02,0,true,5361423.000,276471.771
Adaptive2/squashing:this_node_write,0,1000000,4000000,0.02,0,true,983093.667,24.897
Adaptive2/squashing:global_data_read_write,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,0,1000000,4000000,0.02,0,true,0.000,0.000
Adaptive2/squashing:union_requests,0,1000000,4000000,0.02,0,true,4000000.000,0.000
Adaptive2/squashing,1,1000000,400,0.02,0.9999,true,1391526.560,403406.276
Adaptive2/squashing:cross_node_read,1,1000000,400,0.02,0.9999,true,5384358.667,943381.843
Adaptive2/squashing:this_node_read,1,1000000,400,0.02,0.9999,true,33749916.167,1143304.406
Adaptive2/squashing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,1,1000000,400,0.02,0.9999,true,3206144.833,898544.163
Adaptive2/squashing:this_node_write,1,1000000,400,0.02,0.9999,true,1.500,0.548
Adaptive2/squashing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3334367.500,44463.388
Adaptive2/squashing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,665225.000,44463.823
