DSU,N,E,interpairFraction,sameSetFraction,shuffleVertices,Score,Score Error
AdaptiveSmart/halfing,1000000,64000000,0.100,0.650,1,4520996.395,205245.893
AdaptiveSmart/squashing,1000000,64000000,0.100,0.650,1,4543187.159,211553.120
AdaptiveSmart/halfing,1000000,4000000,0.300,0.650,1,2781461.145,142305.064
AdaptiveSmart/squashing,1000000,4000000,0.300,0.650,1,2982431.122,236476.445
AdaptiveSmart/halfing,1000000,16000000,0.300,0.650,1,3880746.434,200710.720
AdaptiveSmart/squashing,1000000,16000000,0.300,0.650,1,3759154.402,234230.216
AdaptiveSmart/halfing,1000000,64000000,0.300,0.650,1,4489174.803,180833.562
AdaptiveSmart/squashing,1000000,64000000,0.300,0.650,1,4485726.809,213325.188
AdaptiveSmart/halfing,1000000,4000000,0.020,0.800,1,4002918.008,100775.587
AdaptiveSmart/squashing,1000000,4000000,0.020,0.800,1,3958330.172,87326.558
AdaptiveSmart/halfing,1000000,16000000,0.020,0.800,1,4474803.647,107336.566
AdaptiveSmart/squashing,1000000,16000000,0.020,0.800,1,4522551.484,102932.550
AdaptiveSmart/halfing,1000000,64000000,0.020,0.800,1,4682210.866,87244.557
AdaptiveSmart/squashing,1000000,64000000,0.020,0.800,1,4638497.339,71975.031
AdaptiveSmart/halfing,1000000,4000000,0.100,0.800,1,3744425.154,188530.900
AdaptiveSmart/squashing,1000000,4000000,0.100,0.800,1,3692848.965,154613.806
AdaptiveSmart/halfing,1000000,16000000,0.100,0.800,1,4290707.805,191750.668
AdaptiveSmart/squashing,1000000,16000000,0.100,0.800,1,4240851.901,182199.633
AdaptiveSmart/halfing,1000000,64000000,0.100,0.800,1,4461603.827,60489.031
AdaptiveSmart/squashing,1000000,64000000,0.100,0.800,1,4547600.988,106044.389
AdaptiveSmart/halfing,1000000,4000000,0.300,0.800,1,3411214.514,149479.835
AdaptiveSmart/squashing,1000000,4000000,0.300,0.800,1,3288122.423,111816.437
AdaptiveSmart/halfing,1000000,16000000,0.300,0.800,1,4139115.887,229115.184
AdaptiveSmart/squashing,1000000,16000000,0.300,0.800,1,4210381.845,239388.395
AdaptiveSmart/halfing,1000000,64000000,0.300,0.800,1,4268639.512,207704.074
AdaptiveSmart/squashing,1000000,64000000,0.300,0.800,1,4257488.639,260395.597
AdaptiveSmart/halfing,1000000,4000000,0.020,0.950,1,4493439.384,49972.415
AdaptiveSmart/squashing,1000000,4000000,0.020,0.950,1,4530504.232,64479.009
AdaptiveSmart/halfing,1000000,16000000,0.020,0.950,1,4811406.139,36512.385
AdaptiveSmart/squashing,1000000,16000000,0.020,0.950,1,4828099.027,39722.365
AdaptiveSmart/halfing,1000000,64000000,0.020,0.950,1,4824751.163,45965.671
AdaptiveSmart/squashing,1000000,64000000,0.020,0.950,1,4848995.715,42114.296
AdaptiveSmart/halfing,1000000,4000000,0.100,0.950,1,4222111.212,69318.637
AdaptiveSmart/squashing,1000000,4000000,0.100,0.950,1,4272560.616,56284.447
AdaptiveSmart/halfing,1000000,16000000,0.100,0.950,1,4546565.543,96967.570
AdaptiveSmart/squashing,1000000,16000000,0.100,0.950,1,4598525.422,99106.285
AdaptiveSmart/halfing,1000000,64000000,0.100,0.950,1,4670326.025,93178.831
AdaptiveSmart/squashing,1000000,64000000,0.100,0.950,1,4673895.323,84275.309
AdaptiveSmart/halfing,1000000,4000000,0.300,0.950,1,4027049.293,70703.660
AdaptiveSmart/squashing,1000000,4000000,0.300,0.950,1,3995300.030,86044.139
AdaptiveSmart/halfing,1000000,16000000,0.300,0.950,1,4387296.694,35975.463
AdaptiveSmart/squashing,1000000,16000000,0.300,0.950,1,4308109.367,74647.086
AdaptiveSmart/halfing,1000000,64000000,0.300,0.950,1,4491038.065,61398.371
AdaptiveSmart/squashing,1000000,64000000,0.300,0.950,1,4442624.944,111438.777
