DSU,N,E,interpairFraction,sameSetFraction,shuffleVertices,Score,Score Error
AdaptiveSmart/squashing:same_set_requests_true,1000000,64000000,0.020,0.650,1,116994228.500,4210.592
AdaptiveSmart/squashing:same_set_requests_false,1000000,64000000,0.020,0.650,1,1869816.500,3884.692
AdaptiveSmart/squashing:union_requests,1000000,64000000,0.020,0.650,1,63993098.000,326.443
AdaptiveSmart/halfing,1000000,4000000,0.100,0.650,1,1842244.266,292141.225
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.100,0.650,1,3458303.833,231573.119
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.100,0.650,1,51348746.333,620527.941
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.100,0.650,1,81189.167,727.148
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.100,0.650,1,2591166.667,107655.905
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.100,0.650,1,2679029.833,411606.000
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.100,0.650,1,5530334.333,16631.479
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.100,0.650,1,1898348.167,17182.705
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.100,0.650,1,3999870.500,551.557
AdaptiveSmart/squashing,1000000,4000000,0.100,0.650,1,1884781.059,330292.628
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.100,0.650,1,3969402.167,726450.228
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.100,0.650,1,52350674.500,732517.617
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.100,0.650,1,77567.333,72.586
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.100,0.650,1,2575566.667,27466.329
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.100,0.650,1,2744792.667,522928.202
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.100,0.650,1,5543035.667,12189.881
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.100,0.650,1,1885646.833,12740.784
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.100,0.650,1,3999870.500,551.557
AdaptiveSmart/halfing,1000000,16000000,0.100,0.650,1,2329396.419,498373.978
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.100,0.650,1,12849897.333,2242813.593
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.100,0.650,1,192080050.000,794952.068
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.100,0.650,1,81273.667,337.497
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.100,0.650,1,3822756.333,498882.960
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.100,0.650,1,2657482.333,59356.623
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.100,0.650,1,27804272.167,16137.381
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.100,0.650,1,1915962.333,14281.433
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.100,0.650,1,15993978.500,1873.759
AdaptiveSmart/squashing,1000000,16000000,0.100,0.650,1,2321778.448,550674.257
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.100,0.650,1,12546383.333,1352940.267
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.100,0.650,1,192714898.000,234012.269
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.100,0.650,1,78987.833,2033.628
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.100,0.650,1,4179994.667,832751.553
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.100,0.650,1,2682294.667,99841.490
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.100,0.650,1,27812412.000,10807.386
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.100,0.650,1,1907822.500,8976.738
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.100,0.650,1,15993978.500,1873.759
AdaptiveSmart/halfing,1000000,64000000,0.100,0.650,1,2551644.844,625132.647
AdaptiveSmart/halfing:cross_node_read,1000000,64000000,0.100,0.650,1,29891809.000,855164.691
AdaptiveSmart/halfing:this_node_read,1000000,64000000,0.100,0.650,1,755022874.333,6292408.750
AdaptiveSmart/halfing:cross_node_write,1000000,64000000,0.100,0.650,1,84061.167,1553.497
AdaptiveSmart/halfing:this_node_read_success,1000000,64000000,0.100,0.650,1,14394284.000,8239208.815
AdaptiveSmart/halfing:this_node_write,1000000,64000000,0.100,0.650,1,2790988.167,36371.818
AdaptiveSmart/halfing:global_data_read_write,1000000,64000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,64000000,0.100,0.650,1,116933121.833,35877.722
AdaptiveSmart/halfing:same_set_requests_false,1000000,64000000,0.100,0.650,1,1928395.667,37460.195
AdaptiveSmart/halfing:union_requests,1000000,64000000,0.100,0.650,1,63995588.500,1603.184
AdaptiveSmart/squashing,1000000,64000000,0.100,0.650,1,2564406.202,629914.099
AdaptiveSmart/squashing:cross_node_read,1000000,64000000,0.100,0.650,1,40187274.000,11030186.276
AdaptiveSmart/squashing:this_node_read,1000000,64000000,0.100,0.650,1,759224162.500,1125623.704
AdaptiveSmart/squashing:cross_node_write,1000000,64000000,0.100,0.650,1,77840.667,77.340
AdaptiveSmart/squashing:this_node_read_success,1000000,64000000,0.100,0.650,1,12496952.833,7360535.266
AdaptiveSmart/squashing:this_node_write,1000000,64000000,0.100,0.650,1,2814626.000,27455.307
AdaptiveSmart/squashing:global_data_read_write,1000000,64000000,0.100,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,64000000,0.100,0.650,1,116953185.167,30368.152
AdaptiveSmart/squashing:same_set_requests_false,1000000,64000000,0.100,0.650,1,1908332.333,31965.804
AdaptiveSmart/squashing:union_requests,1000000,64000000,0.100,0.650,1,63995588.500,1603.184
AdaptiveSmart/halfing,1000000,4000000,0.300,0.650,1,1587156.049,206771.254
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.300,0.650,1,6055904.500,70944.308
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.300,0.650,1,53249433.500,55443.935
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.300,0.650,1,205919.500,309.313
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.300,0.650,1,3636891.167,138488.406
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.300,0.650,1,3323883.667,101193.645
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.300,0.650,1,5453572.833,7448.839
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.300,0.650,1,1972500.167,7979.797
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.300,0.650,1,4002498.000,534.577
AdaptiveSmart/squashing,1000000,4000000,0.300,0.650,1,1570244.418,205416.750
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.300,0.650,1,6776957.167,664716.393
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.300,0.650,1,54405664.000,120946.272
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.300,0.650,1,201334.167,85.831
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.300,0.650,1,3749143.333,111070.445
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.300,0.650,1,3262217.333,171971.176
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.300,0.650,1,5494864.000,11627.915
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.300,0.650,1,1931209.000,11093.855
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.300,0.650,1,4002498.000,534.577
AdaptiveSmart/halfing,1000000,16000000,0.300,0.650,1,2208176.118,453723.163
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.300,0.650,1,20041357.833,2572304.589
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.300,0.650,1,194572680.833,495562.106
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.300,0.650,1,206487.167,350.874
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.300,0.650,1,5267216.167,941519.867
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.300,0.650,1,2723435.000,109969.740
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.300,0.650,1,27741866.833,19174.557
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.300,0.650,1,1971366.667,19782.331
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.300,0.650,1,16001052.500,613.997
AdaptiveSmart/squashing,1000000,16000000,0.300,0.650,1,2153956.995,439356.720
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.300,0.650,1,17794775.500,5333489.759
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.300,0.650,1,195936505.500,211859.124
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.300,0.650,1,203954.667,3317.099
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.300,0.650,1,7085164.500,2095320.276
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.300,0.650,1,3028124.667,430418.588
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.300,0.650,1,27758202.833,30676.104
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.300,0.650,1,1955030.667,30062.386
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.300,0.650,1,16001052.500,613.997
AdaptiveSmart/halfing,1000000,64000000,0.300,0.650,1,2479925.376,594785.137
AdaptiveSmart/halfing:cross_node_read,1000000,64000000,0.300,0.650,1,65915550.000,12815717.084
AdaptiveSmart/halfing:this_node_read,1000000,64000000,0.300,0.650,1,756983415.500,6614119.222
AdaptiveSmart/halfing:cross_node_write,1000000,64000000,0.300,0.650,1,204573.833,665.918
AdaptiveSmart/halfing:this_node_read_success,1000000,64000000,0.300,0.650,1,5373841.333,1400447.598
AdaptiveSmart/halfing:this_node_write,1000000,64000000,0.300,0.650,1,3884593.833,1119214.702
AdaptiveSmart/halfing:global_data_read_write,1000000,64000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,64000000,0.300,0.650,1,116847462.167,29531.208
AdaptiveSmart/halfing:same_set_requests_false,1000000,64000000,0.300,0.650,1,2011202.833,26197.205
AdaptiveSmart/halfing:union_requests,1000000,64000000,0.300,0.650,1,63998478.000,3340.012
AdaptiveSmart/squashing,1000000,64000000,0.300,0.650,1,2518879.586,560819.022
AdaptiveSmart/squashing:cross_node_read,1000000,64000000,0.300,0.650,1,51872389.000,22254627.050
AdaptiveSmart/squashing:this_node_read,1000000,64000000,0.300,0.650,1,759913216.000,2661147.675
AdaptiveSmart/squashing:cross_node_write,1000000,64000000,0.300,0.650,1,200823.000,333.510
AdaptiveSmart/squashing:this_node_read_success,1000000,64000000,0.300,0.650,1,17517128.667,11060924.888
AdaptiveSmart/squashing:this_node_write,1000000,64000000,0.300,0.650,1,3288858.500,437798.221
AdaptiveSmart/squashing:global_data_read_write,1000000,64000000,0.300,0.650,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,64000000,0.300,0.650,1,116903147.167,7238.162
AdaptiveSmart/squashing:same_set_requests_false,1000000,64000000,0.300,0.650,1,1955517.833,10572.751
AdaptiveSmart/squashing:union_requests,1000000,64000000,0.300,0.650,1,63998478.000,3340.012
AdaptiveSmart/halfing,1000000,4000000,0.020,0.800,1,2013807.208,346670.865
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.020,0.800,1,2269012.667,34397.646
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.020,0.800,1,88318686.167,253949.445
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.020,0.800,1,18267.833,51.394
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.020,0.800,1,3809041.500,37628.736
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.020,0.800,1,3591241.167,189513.854
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.020,0.800,1,11981865.000,2682.347
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.020,0.800,1,4016987.500,3479.807
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.020,0.800,1,4001147.500,801.318
AdaptiveSmart/squashing,1000000,4000000,0.020,0.800,1,1990046.753,390008.171
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.020,0.800,1,2174609.000,78543.276
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.020,0.800,1,89129961.833,862074.154
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.020,0.800,1,17149.833,125.383
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.020,0.800,1,3875245.000,16774.004
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.020,0.800,1,3495671.667,445054.693
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.020,0.800,1,11984925.000,5574.104
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.020,0.800,1,4013927.500,6374.581
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.020,0.800,1,4001147.500,801.318
AdaptiveSmart/halfing,1000000,16000000,0.020,0.800,1,2484170.866,494605.863
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.020,0.800,1,4840000.333,234534.669
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.020,0.800,1,327369287.000,520557.131
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.020,0.800,1,17951.500,661.203
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.020,0.800,1,4637234.500,133881.518
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.020,0.800,1,2806762.000,309451.577
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.020,0.800,1,59985494.333,1917.835
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.020,0.800,1,4013003.167,2080.578
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.020,0.800,1,16001502.500,457.348
AdaptiveSmart/squashing,1000000,16000000,0.020,0.800,1,2468218.164,587374.999
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.020,0.800,1,4994561.833,791565.910
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.020,0.800,1,328238478.500,239895.075
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.020,0.800,1,17070.167,207.912
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.020,0.800,1,4799008.333,373193.213
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.020,0.800,1,2880876.167,377549.845
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.020,0.800,1,59987906.667,723.071
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.020,0.800,1,4010590.833,1172.155
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.020,0.800,1,16001502.500,457.348
AdaptiveSmart/halfing,1000000,64000000,0.020,0.800,1,2632617.462,469538.376
AdaptiveSmart/halfing:cross_node_read,1000000,64000000,0.020,0.800,1,30441632.667,13266975.746
AdaptiveSmart/halfing:this_node_read,1000000,64000000,0.020,0.800,1,1293962557.667,4799931.942
AdaptiveSmart/halfing:cross_node_write,1000000,64000000,0.020,0.800,1,17163.167,40.819
AdaptiveSmart/halfing:this_node_read_success,1000000,64000000,0.020,0.800,1,6178589.333,1739171.119
AdaptiveSmart/halfing:this_node_write,1000000,64000000,0.020,0.800,1,2905292.167,194672.392
AdaptiveSmart/halfing:global_data_read_write,1000000,64000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,64000000,0.020,0.800,1,251972719.333,9429.228
AdaptiveSmart/halfing:same_set_requests_false,1000000,64000000,0.020,0.800,1,4025980.667,9016.996
AdaptiveSmart/halfing:union_requests,1000000,64000000,0.020,0.800,1,64001300.000,3598.537
AdaptiveSmart/squashing,1000000,64000000,0.020,0.800,1,2526780.757,680873.829
AdaptiveSmart/squashing:cross_node_read,1000000,64000000,0.020,0.800,1,46588885.333,10111226.099
AdaptiveSmart/squashing:this_node_read,1000000,64000000,0.020,0.800,1,1300350359.667,2670317.651
AdaptiveSmart/squashing:cross_node_write,1000000,64000000,0.020,0.800,1,17259.833,117.658
AdaptiveSmart/squashing:this_node_read_success,1000000,64000000,0.020,0.800,1,7228507.833,1441403.066
AdaptiveSmart/squashing:this_node_write,1000000,64000000,0.020,0.800,1,2713161.333,12602.556
AdaptiveSmart/squashing:global_data_read_write,1000000,64000000,0.020,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,64000000,0.020,0.800,1,251939220.000,35169.822
AdaptiveSmart/squashing:same_set_requests_false,1000000,64000000,0.020,0.800,1,4059480.000,31769.296
AdaptiveSmart/squashing:union_requests,1000000,64000000,0.020,0.800,1,64001300.000,3598.537
AdaptiveSmart/halfing,1000000,4000000,0.100,0.800,1,2090226.794,262155.142
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.100,0.800,1,6323523.000,617947.864
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.100,0.800,1,87366640.667,483451.290
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.100,0.800,1,77944.500,210.290
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.100,0.800,1,4445561.167,16566.143
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.100,0.800,1,2692099.500,414698.008
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.100,0.800,1,11948327.167,1340.858
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.100,0.800,1,4051129.333,2228.576
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.100,0.800,1,4000543.500,944.821
AdaptiveSmart/squashing,1000000,4000000,0.100,0.800,1,1926663.993,367176.082
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.100,0.800,1,6357288.333,407139.862
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.100,0.800,1,88985101.000,267845.117
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.100,0.800,1,78034.000,278.972
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.100,0.800,1,4430477.000,39087.616
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.100,0.800,1,3192577.500,147061.973
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.100,0.800,1,11935393.500,5254.105
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.100,0.800,1,4064063.000,5703.838
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.100,0.800,1,4000543.500,944.821
AdaptiveSmart/halfing,1000000,16000000,0.100,0.800,1,2439453.319,384400.248
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.100,0.800,1,18425195.667,7190676.089
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.100,0.800,1,330233854.667,1463288.291
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.100,0.800,1,77538.000,621.432
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.100,0.800,1,6536569.167,215111.868
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.100,0.800,1,3269299.667,652659.004
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.100,0.800,1,59952515.000,5138.082
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.100,0.800,1,4048606.500,4620.846
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.100,0.800,1,15998878.500,534.029
AdaptiveSmart/squashing,1000000,16000000,0.100,0.800,1,2366973.902,605575.850
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.100,0.800,1,14003355.333,2649863.746
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.100,0.800,1,330331536.833,698812.940
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.100,0.800,1,78135.000,631.184
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.100,0.800,1,7147774.833,1457415.949
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.100,0.800,1,3487992.667,665872.101
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.100,0.800,1,59897484.500,33254.010
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.100,0.800,1,4103637.000,33787.939
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.100,0.800,1,15998878.500,534.029
AdaptiveSmart/halfing,1000000,64000000,0.100,0.800,1,2564846.148,434250.448
AdaptiveSmart/halfing:cross_node_read,1000000,64000000,0.100,0.800,1,54719560.833,4897042.581
AdaptiveSmart/halfing:this_node_read,1000000,64000000,0.100,0.800,1,1299658814.333,7269951.415
AdaptiveSmart/halfing:cross_node_write,1000000,64000000,0.100,0.800,1,77882.833,85.153
AdaptiveSmart/halfing:this_node_read_success,1000000,64000000,0.100,0.800,1,13967072.833,9020179.042
AdaptiveSmart/halfing:this_node_write,1000000,64000000,0.100,0.800,1,3315488.833,458907.112
AdaptiveSmart/halfing:global_data_read_write,1000000,64000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,64000000,0.100,0.800,1,251951039.167,3157.770
AdaptiveSmart/halfing:same_set_requests_false,1000000,64000000,0.100,0.800,1,4048537.833,9647.453
AdaptiveSmart/halfing:union_requests,1000000,64000000,0.100,0.800,1,64000423.000,10745.221
AdaptiveSmart/squashing,1000000,64000000,0.100,0.800,1,2481203.914,660948.257
AdaptiveSmart/squashing:cross_node_read,1000000,64000000,0.100,0.800,1,36313109.000,3082378.856
AdaptiveSmart/squashing:this_node_read,1000000,64000000,0.100,0.800,1,1294458727.500,6468724.187
AdaptiveSmart/squashing:cross_node_write,1000000,64000000,0.100,0.800,1,78230.667,306.688
AdaptiveSmart/squashing:this_node_read_success,1000000,64000000,0.100,0.800,1,13189726.333,8302557.594
AdaptiveSmart/squashing:this_node_write,1000000,64000000,0.100,0.800,1,3915028.667,661534.016
AdaptiveSmart/squashing:global_data_read_write,1000000,64000000,0.100,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,64000000,0.100,0.800,1,251941232.167,11246.637
AdaptiveSmart/squashing:same_set_requests_false,1000000,64000000,0.100,0.800,1,4058344.833,21984.598
AdaptiveSmart/squashing:union_requests,1000000,64000000,0.100,0.800,1,64000423.000,10745.221
AdaptiveSmart/halfing,1000000,4000000,0.300,0.800,1,2007863.943,244968.561
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.300,0.800,1,12622226.000,709522.808
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.300,0.800,1,87939582.500,514097.021
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.300,0.800,1,200600.000,559.234
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.300,0.800,1,5630933.000,67775.735
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.300,0.800,1,2545147.167,108195.653
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.300,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.300,0.800,1,11902615.667,14200.202
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.300,0.800,1,4095267.333,14459.587
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.300,0.800,1,4002117.000,259.620
AdaptiveSmart/squashing,1000000,4000000,0.300,0.800,1,1860138.195,340787.956
AdaptiveSmart/squashing:cross_node_read,1000000,4000000,0.300,0.800,1,12359380.000,551553.224
AdaptiveSmart/squashing:this_node_read,1000000,4000000,0.300,0.800,1,89121523.000,371375.479
AdaptiveSmart/squashing:cross_node_write,1000000,4000000,0.300,0.800,1,201163.000,162.738
AdaptiveSmart/squashing:this_node_read_success,1000000,4000000,0.300,0.800,1,5646904.000,73738.089
AdaptiveSmart/squashing:this_node_write,1000000,4000000,0.300,0.800,1,2911343.500,297659.166
AdaptiveSmart/squashing:global_data_read_write,1000000,4000000,0.300,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,4000000,0.300,0.800,1,11901647.833,16149.110
AdaptiveSmart/squashing:same_set_requests_false,1000000,4000000,0.300,0.800,1,4096235.167,16408.484
AdaptiveSmart/squashing:union_requests,1000000,4000000,0.300,0.800,1,4002117.000,259.620
AdaptiveSmart/halfing,1000000,16000000,0.300,0.800,1,2404807.695,366066.860
AdaptiveSmart/halfing:cross_node_read,1000000,16000000,0.300,0.800,1,28729764.167,3324114.981
AdaptiveSmart/halfing:this_node_read,1000000,16000000,0.300,0.800,1,331665476.333,1013157.316
AdaptiveSmart/halfing:cross_node_write,1000000,16000000,0.300,0.800,1,201417.167,417.326
AdaptiveSmart/halfing:this_node_read_success,1000000,16000000,0.300,0.800,1,10261017.167,1707215.458
AdaptiveSmart/halfing:this_node_write,1000000,16000000,0.300,0.800,1,2766887.667,39337.372
AdaptiveSmart/halfing:global_data_read_write,1000000,16000000,0.300,0.800,1,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,16000000,0.300,0.800,1,59891367.667,40918.441
AdaptiveSmart/halfing:same_set_requests_false,1000000,16000000,0.300,0.800,1,4109525.333,42100.045
AdaptiveSmart/halfing:union_requests,1000000,16000000,0.300,0.800,1,15999107.000,1484.328
AdaptiveSmart/squashing,1000000,16000000,0.300,0.800,1,2327928.854,528092.311
AdaptiveSmart/squashing:cross_node_read,1000000,16000000,0.300,0.800,1,28030276.500,3218332.392
AdaptiveSmart/squashing:this_node_read,1000000,16000000,0.300,0.800,1,332160890.667,493292.144
AdaptiveSmart/squashing:cross_node_write,1000000,16000000,0.300,0.800,1,202316.833,1121.893
AdaptiveSmart/squashing:this_node_read_success,1000000,16000000,0.300,0.800,1,10500389.667,1879850.244
AdaptiveSmart/squashing:this_node_write,1000000,16000000,0.300,0.800,1,3042611.333,436300.197
AdaptiveSmart/squashing:global_data_read_write,1000000,16000000,0.300,0.800,1,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,16000000,0.300,0.800,1,59795082.500,62540.487
AdaptiveSmart/squashing:same_set_requests_false,1000000,16000000,0.300,0.800,1,4205810.500,64024.310
AdaptiveSmart/squashing:union_requests,1000000,16000000,0.300,0.800,1,15999107.000,1484.328
AdaptiveSmart/halfing,1000000,64000000,0.300,0.800,1,2539861.297,500039.002
