DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.600,2681744.773,305158.286
Usual:cross_node_read,1000000,4000000,0.100,0.600,0.000,0.000
Usual:this_node_read,1000000,4000000,0.100,0.600,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.100,0.600,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.100,0.600,0.000,0.000
Usual:this_node_write,1000000,4000000,0.100,0.600,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.100,0.600,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.100,0.600,4500180.167,664.658
Usual:same_set_requests_false,1000000,4000000,0.100,0.600,1499654.333,1275.610
Usual:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
SeveralDSU,1000000,4000000,0.100,0.600,2743884.812,219137.417
SeveralDSU:cross_node_read,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:this_node_read,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:cross_node_write,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:this_node_read_success,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:this_node_write,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:global_data_read_write,1000000,4000000,0.100,0.600,0.000,0.000
SeveralDSU:same_set_requests_true,1000000,4000000,0.100,0.600,4501241.500,1186.205
SeveralDSU:same_set_requests_false,1000000,4000000,0.100,0.600,1498593.000,730.283
SeveralDSU:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
ParallelUnions/halfing,1000000,4000000,0.100,0.600,1716863.743,140527.979
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.100,0.600,999763.333,11.003
ParallelUnions/halfing:this_node_read,1000000,4000000,0.100,0.600,29536726.667,89461.371
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.100,0.600,1999339.000,14.241
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.100,0.600,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.100,0.600,3727839.833,29488.478
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.100,0.600,2000675.167,180.822
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.100,0.600,4500003.833,339.296
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.100,0.600,1499830.667,1581.610
ParallelUnions/halfing:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
Adaptive/halfing,1000000,4000000,0.100,0.600,820978.542,193519.624
Adaptive/halfing:cross_node_read,1000000,4000000,0.100,0.600,10046734.167,39546.199
Adaptive/halfing:this_node_read,1000000,4000000,0.100,0.600,43928066.833,296218.880
Adaptive/halfing:cross_node_write,1000000,4000000,0.100,0.600,72594.000,1874.245
Adaptive/halfing:this_node_read_success,1000000,4000000,0.100,0.600,33881332.667,257156.965
Adaptive/halfing:this_node_write,1000000,4000000,0.100,0.600,2570303.167,138208.797
Adaptive/halfing:global_data_read_write,1000000,4000000,0.100,0.600,0.000,0.000
Adaptive/halfing:same_set_requests_true,1000000,4000000,0.100,0.600,4499468.667,1183.611
Adaptive/halfing:same_set_requests_false,1000000,4000000,0.100,0.600,1500365.833,758.186
Adaptive/halfing:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
AdaptiveLocks/halfing,1000000,4000000,0.100,0.600,683044.990,151949.905
AdaptiveLocks/halfing:cross_node_read,1000000,4000000,0.100,0.600,10063208.667,62884.909
AdaptiveLocks/halfing:this_node_read,1000000,4000000,0.100,0.600,44062120.167,462101.074
AdaptiveLocks/halfing:cross_node_write,1000000,4000000,0.100,0.600,141584.333,254.088
AdaptiveLocks/halfing:this_node_read_success,1000000,4000000,0.100,0.600,33998911.500,399234.458
AdaptiveLocks/halfing:this_node_write,1000000,4000000,0.100,0.600,3554331.833,204387.415
AdaptiveLocks/halfing:global_data_read_write,1000000,4000000,0.100,0.600,2999296.833,46.675
AdaptiveLocks/halfing:same_set_requests_true,1000000,4000000,0.100,0.600,4499738.000,522.862
AdaptiveLocks/halfing:same_set_requests_false,1000000,4000000,0.100,0.600,1500096.500,2413.836
AdaptiveLocks/halfing:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
LazyUnions/halfing,1000000,4000000,0.100,0.600,670458.738,198605.518
LazyUnions/halfing:cross_node_read,1000000,4000000,0.100,0.600,819386.667,1613.517
LazyUnions/halfing:this_node_read,1000000,4000000,0.100,0.600,44234689.500,104029.004
LazyUnions/halfing:cross_node_write,1000000,4000000,0.100,0.600,999721.333,11.776
LazyUnions/halfing:this_node_read_success,1000000,4000000,0.100,0.600,43415299.500,102427.054
LazyUnions/halfing:this_node_write,1000000,4000000,0.100,0.600,3742445.500,41015.388
LazyUnions/halfing:global_data_read_write,1000000,4000000,0.100,0.600,0.000,0.000
LazyUnions/halfing:same_set_requests_true,1000000,4000000,0.100,0.600,4500185.000,235.992
LazyUnions/halfing:same_set_requests_false,1000000,4000000,0.100,0.600,1499649.500,2122.101
LazyUnions/halfing:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
ParallelUnions/squashing,1000000,4000000,0.100,0.600,2383595.130,191910.945
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.100,0.600,999769.500,17.863
ParallelUnions/squashing:this_node_read,1000000,4000000,0.100,0.600,29516196.667,744017.415
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.100,0.600,1999339.000,14.241
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.100,0.600,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.100,0.600,3828167.167,268379.141
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.100,0.600,2000886.667,206.031
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.100,0.600,4499943.167,367.715
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.100,0.600,1499891.333,1559.408
ParallelUnions/squashing:union_requests,1000000,4000000,0.100,0.600,4000101.500,1892.381
Adaptive/squashing,1000000,4000000,0.100,0.600,724270.591,221868.849
Adaptive/squashing:cross_node_read,1000000,4000000,0.100,0.600,9628451.167,6068.856
Adaptive/squashing:this_node_read,1000000,4000000,0.100,0.600,44225219.667,714607.662
