DSU,N,E,ipf,ssf,shuffle,Score,Score Error
ParallelUnions/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,1675977.000,104.067
ParallelUnions/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,1000000,0.02,0.2,true,2484020.000,85447.560
ParallelUnions/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,1677448.000,369.433
ParallelUnions/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40433.000,130.158
ParallelUnions/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209613.500,232.331
ParallelUnions/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
ParallelUnions/squashing:hist_begin,1000000,1000000,0.02,0.2,true,180,0
ParallelUnions/squashing:hist_end,1000000,1000000,0.02,0.2,true,216,0
Adaptive2/squashing,1000000,1000000,0.02,0.2,true,725153.382,296685.965
Adaptive2/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,431686.500,56385.195
Adaptive2/squashing:this_node_read,1000000,1000000,0.02,0.2,true,10501902.333,62255.605
Adaptive2/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,14357.167,95.019
Adaptive2/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,3362153.000,31567.193
Adaptive2/squashing:this_node_write,1000000,1000000,0.02,0.2,true,1639538.000,23146.122
Adaptive2/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40407.833,60.413
Adaptive2/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209638.667,164.501
Adaptive2/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Adaptive2/squashing:hist_begin,1000000,1000000,0.02,0.2,true,216,0
Adaptive2/squashing:hist_end,1000000,1000000,0.02,0.2,true,252,0
Adaptive3/squashing,1000000,1000000,0.02,0.2,true,645275.363,224724.019
Adaptive3/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,294814.833,15904.630
Adaptive3/squashing:this_node_read,1000000,1000000,0.02,0.2,true,10062603.833,26252.286
Adaptive3/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,14573.667,146.925
Adaptive3/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,4560328.000,10536.059
Adaptive3/squashing:this_node_write,1000000,1000000,0.02,0.2,true,1589437.333,12323.459
Adaptive3/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,40474.167,45.539
Adaptive3/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,209572.333,148.620
Adaptive3/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
Adaptive3/squashing:hist_begin,1000000,1000000,0.02,0.2,true,252,0
Adaptive3/squashing:hist_end,1000000,1000000,0.02,0.2,true,288,0
AdaptiveSmart/squashing,1000000,1000000,0.02,0.2,true,1186226.755,238054.238
AdaptiveSmart/squashing:cross_node_read,1000000,1000000,0.02,0.2,true,144536.167,2241.248
AdaptiveSmart/squashing:this_node_read,1000000,1000000,0.02,0.2,true,6920305.333,28413.899
AdaptiveSmart/squashing:cross_node_write,1000000,1000000,0.02,0.2,true,14819.333,128.752
AdaptiveSmart/squashing:this_node_read_success,1000000,1000000,0.02,0.2,true,272057.000,4884.824
AdaptiveSmart/squashing:this_node_write,1000000,1000000,0.02,0.2,true,1632038.167,12819.456
AdaptiveSmart/squashing:global_data_read_write,1000000,1000000,0.02,0.2,true,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,1000000,0.02,0.2,true,39799.333,33.969
AdaptiveSmart/squashing:same_set_requests_false,1000000,1000000,0.02,0.2,true,210247.167,101.213
AdaptiveSmart/squashing:union_requests,1000000,1000000,0.02,0.2,true,1249960.000,0.000
AdaptiveSmart/squashing:hist_begin,1000000,1000000,0.02,0.2,true,288,0
AdaptiveSmart/squashing:hist_end,1000000,1000000,0.02,0.2,true,324,0
Usual,1000000,2000000,0.02,0.2,true,1140900.949,236316.364
Usual:cross_node_read,1000000,2000000,0.02,0.2,true,0.000,0.000
