DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.600,2927416.069,229483.654
SeveralDSU,1000000,4000000,0.100,0.600,3223766.922,87676.097
ParallelUnions/halfing,1000000,4000000,0.100,0.600,3361456.836,134119.578
Adaptive/halfing,1000000,4000000,0.100,0.600,3638150.734,120799.023
AdaptiveLocks/halfing,1000000,4000000,0.100,0.600,3527592.908,92495.270
LazyUnions/halfing,1000000,4000000,0.100,0.600,3706568.936,79147.520
ParallelUnions/squashing,1000000,4000000,0.100,0.600,3033323.109,233173.754
Adaptive/squashing,1000000,4000000,0.100,0.600,3592961.121,114731.637
AdaptiveLocks/squashing,1000000,4000000,0.100,0.600,3511052.380,105384.649
LazyUnions/squashing,1000000,4000000,0.100,0.600,3653810.849,95865.410
