DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.020,0.200,1795726.721,294735.430
ParallelUnions/halfing,1000000,4000000,0.020,0.200,3402260.660,303076.733
Adaptive2/halfing,1000000,4000000,0.020,0.200,3903108.837,125339.719
Adaptive3/halfing,1000000,4000000,0.020,0.200,3799464.898,125304.782
ParallelUnions/squashing,1000000,4000000,0.020,0.200,3328465.014,369550.721
Adaptive2/squashing,1000000,4000000,0.020,0.200,3804410.257,219989.941
Adaptive3/squashing,1000000,4000000,0.020,0.200,3836697.772,148346.340
Usual,1000000,16000000,0.020,0.200,3681643.516,410075.864
ParallelUnions/halfing,1000000,16000000,0.020,0.200,4046046.839,199140.811
Adaptive2/halfing,1000000,16000000,0.020,0.200,4570597.832,38463.281
Adaptive3/halfing,1000000,16000000,0.020,0.200,4552513.188,41340.042
ParallelUnions/squashing,1000000,16000000,0.020,0.200,3798915.754,140203.423
Adaptive2/squashing,1000000,16000000,0.020,0.200,4523013.012,49795.187
Adaptive3/squashing,1000000,16000000,0.020,0.200,4502031.333,53652.018
Usual,1000000,64000000,0.020,0.200,4791642.089,31279.413
ParallelUnions/halfing,1000000,64000000,0.020,0.200,4657103.022,59274.021
Adaptive2/halfing,1000000,64000000,0.020,0.200,4828764.331,25796.858
Adaptive3/halfing,1000000,64000000,0.020,0.200,4816703.590,28037.938
ParallelUnions/squashing,1000000,64000000,0.020,0.200,4645324.103,67892.858
Adaptive2/squashing,1000000,64000000,0.020,0.200,4824716.254,30559.207
Adaptive3/squashing,1000000,64000000,0.020,0.200,4823121.870,21162.952
Usual,1000000,4000000,0.100,0.200,1811965.290,362029.008
ParallelUnions/halfing,1000000,4000000,0.100,0.200,2671407.701,689355.204
Adaptive2/halfing,1000000,4000000,0.100,0.200,3509384.316,154410.097
Adaptive3/halfing,1000000,4000000,0.100,0.200,3442696.725,131123.858
ParallelUnions/squashing,1000000,4000000,0.100,0.200,2598664.749,743706.173
Adaptive2/squashing,1000000,4000000,0.100,0.200,3258989.568,322233.124
Adaptive3/squashing,1000000,4000000,0.100,0.200,3316169.974,278233.276
Usual,1000000,16000000,0.100,0.200,3964594.504,56284.257
ParallelUnions/halfing,1000000,16000000,0.100,0.200,4104758.147,213947.422
Adaptive2/halfing,1000000,16000000,0.100,0.200,4384511.316,34872.386
Adaptive3/halfing,1000000,16000000,0.100,0.200,4400645.474,39786.761
ParallelUnions/squashing,1000000,16000000,0.100,0.200,4098547.807,230594.609
Adaptive2/squashing,1000000,16000000,0.100,0.200,4395620.749,83235.311
Adaptive3/squashing,1000000,16000000,0.100,0.200,4394133.398,73353.307
Usual,1000000,64000000,0.100,0.200,4633938.367,108599.466
ParallelUnions/halfing,1000000,64000000,0.100,0.200,4702156.484,53591.260
Adaptive2/halfing,1000000,64000000,0.100,0.200,4767368.980,44652.640
Adaptive3/halfing,1000000,64000000,0.100,0.200,4754555.930,45582.188
ParallelUnions/squashing,1000000,64000000,0.100,0.200,4668879.702,110735.301
Adaptive2/squashing,1000000,64000000,0.100,0.200,4796050.624,49021.958
Adaptive3/squashing,1000000,64000000,0.100,0.200,4757929.595,39516.848
Usual,1000000,4000000,0.300,0.200,1819382.210,135012.461
ParallelUnions/halfing,1000000,4000000,0.300,0.200,2249142.948,405155.335
