DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Adaptive2/halfing,1000000,4000000,0.020,0.600,1417097.805,259330.963
Adaptive2/halfing:cross_node_read,1000000,4000000,0.020,0.600,1668754.833,2930.084
Adaptive2/halfing:this_node_read,1000000,4000000,0.020,0.600,54506957.333,928157.878
Adaptive2/halfing:cross_node_write,1000000,4000000,0.020,0.600,15326.833,114.304
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.020,0.600,10426977.000,5765.893
Adaptive2/halfing:this_node_write,1000000,4000000,0.020,0.600,2678163.833,535827.005
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4498467.000,878.454
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1501027.000,1525.600
Adaptive2/halfing:union_requests,1000000,4000000,0.020,0.600,4000442.000,2399.025
Adaptive3/halfing,1000000,4000000,0.020,0.600,950749.518,213123.331
Adaptive3/halfing:cross_node_read,1000000,4000000,0.020,0.600,3994642.167,264390.600
Adaptive3/halfing:this_node_read,1000000,4000000,0.020,0.600,45979185.667,2472086.081
Adaptive3/halfing:cross_node_write,1000000,4000000,0.020,0.600,18077.333,64.930
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.020,0.600,24215651.000,1233063.513
Adaptive3/halfing:this_node_write,1000000,4000000,0.020,0.600,3377596.167,1140345.882
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.020,0.600,4498743.833,205.513
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.020,0.600,1500750.167,2226.145
Adaptive3/halfing:union_requests,1000000,4000000,0.020,0.600,4000442.000,2399.025
Adaptive2/squashing,1000000,4000000,0.020,0.600,1360982.693,211486.864
Adaptive2/squashing:cross_node_read,1000000,4000000,0.020,0.600,1718344.833,1888.132
Adaptive2/squashing:this_node_read,1000000,4000000,0.020,0.600,56920711.333,2393866.781
Adaptive2/squashing:cross_node_write,1000000,4000000,0.020,0.600,19222.167,524.669
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.020,0.600,10405131.167,10662.822
Adaptive2/squashing:this_node_write,1000000,4000000,0.020,0.600,3599014.500,1188077.249
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.020,0.600,4499069.500,148.562
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.020,0.600,1500424.500,2484.092
Adaptive2/squashing:union_requests,1000000,4000000,0.020,0.600,4000442.000,2399.025
Adaptive3/squashing,1000000,4000000,0.020,0.600,995028.051,251755.343
Adaptive3/squashing:cross_node_read,1000000,4000000,0.020,0.600,3508992.833,897.708
Adaptive3/squashing:this_node_read,1000000,4000000,0.020,0.600,45587627.833,2034991.170
Adaptive3/squashing:cross_node_write,1000000,4000000,0.020,0.600,15139.833,25.309
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.020,0.600,24170967.333,1072545.412
Adaptive3/squashing:this_node_write,1000000,4000000,0.020,0.600,2994162.000,821583.108
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.020,0.600,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.020,0.600,4498590.833,208.288
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.020,0.600,1500903.167,2582.697
Adaptive3/squashing:union_requests,1000000,4000000,0.020,0.600,4000442.000,2399.025
Adaptive2/halfing,1000000,16000000,0.020,0.600,2097502.142,494698.307
Adaptive2/halfing:cross_node_read,1000000,16000000,0.020,0.600,2791944.167,15116.105
Adaptive2/halfing:this_node_read,1000000,16000000,0.020,0.600,177209040.333,543540.608
Adaptive2/halfing:cross_node_write,1000000,16000000,0.020,0.600,20615.000,1937.788
Adaptive2/halfing:this_node_read_success,1000000,16000000,0.020,0.600,11246290.167,34358.984
Adaptive2/halfing:this_node_write,1000000,16000000,0.020,0.600,3807032.333,367029.422
Adaptive2/halfing:global_data_read_write,1000000,16000000,0.020,0.600,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,16000000,0.020,0.600,22498178.500,1740.201
Adaptive2/halfing:same_set_requests_false,1000000,16000000,0.020,0.600,1501458.000,788.699
Adaptive2/halfing:union_requests,1000000,16000000,0.020,0.600,16000363.500,952.490
Adaptive3/halfing,1000000,16000000,0.020,0.600,1266345.613,366048.671
Adaptive3/halfing:cross_node_read,1000000,16000000,0.020,0.600,13736281.833,52825.581
Adaptive3/halfing:this_node_read,1000000,16000000,0.020,0.600,148929844.833,700732.019
Adaptive3/halfing:cross_node_write,1000000,16000000,0.020,0.600,18593.167,1746.084
Adaptive3/halfing:this_node_read_success,1000000,16000000,0.020,0.600,69462494.500,376499.510
Adaptive3/halfing:this_node_write,1000000,16000000,0.020,0.600,3719923.333,346099.860
Adaptive3/halfing:global_data_read_write,1000000,16000000,0.020,0.600,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,16000000,0.020,0.600,22497802.167,316.478
Adaptive3/halfing:same_set_requests_false,1000000,16000000,0.020,0.600,1501834.333,656.045
Adaptive3/halfing:union_requests,1000000,16000000,0.020,0.600,16000363.500,952.490
Adaptive2/squashing,1000000,16000000,0.020,0.600,2105432.130,323256.430
Adaptive2/squashing:cross_node_read,1000000,16000000,0.020,0.600,2741231.000,14343.748
Adaptive2/squashing:this_node_read,1000000,16000000,0.020,0.600,178368612.667,171583.803
Adaptive2/squashing:cross_node_write,1000000,16000000,0.020,0.600,18534.833,1516.387
Adaptive2/squashing:this_node_read_success,1000000,16000000,0.020,0.600,11272869.000,1955.708
Adaptive2/squashing:this_node_write,1000000,16000000,0.020,0.600,3794714.833,70842.183
Adaptive2/squashing:global_data_read_write,1000000,16000000,0.020,0.600,0.000,0.000
