DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.100,2121564.707,207221.058
SeveralDSU,1000000,4000000,0.100,0.100,2421343.671,70685.991
ParallelUnions/halfing,1000000,4000000,0.100,0.100,2910442.139,240544.970
Adaptive/halfing,1000000,4000000,0.100,0.100,3316459.141,102138.513
AdaptiveLocks/halfing,1000000,4000000,0.100,0.100,3216574.807,128801.321
LazyUnions/halfing,1000000,4000000,0.100,0.100,3321996.138,111903.654
ParallelUnions/squashing,1000000,4000000,0.100,0.100,2396763.945,425641.646
Adaptive/squashing,1000000,4000000,0.100,0.100,3264119.789,147644.948
AdaptiveLocks/squashing,1000000,4000000,0.100,0.100,3103192.014,211129.499
LazyUnions/squashing,1000000,4000000,0.100,0.100,3224223.409,136213.563
Usual,1000000,16000000,0.100,0.100,3349286.914,448609.801
SeveralDSU,1000000,16000000,0.100,0.100,3714611.361,157029.094
ParallelUnions/halfing,1000000,16000000,0.100,0.100,4309423.214,153376.419
Adaptive/halfing,1000000,16000000,0.100,0.100,4219829.832,83699.035
AdaptiveLocks/halfing,1000000,16000000,0.100,0.100,4111093.803,82605.318
LazyUnions/halfing,1000000,16000000,0.100,0.100,4161452.163,52436.778
ParallelUnions/squashing,1000000,16000000,0.100,0.100,4167815.467,358724.893
Adaptive/squashing,1000000,16000000,0.100,0.100,4180605.546,88875.577
AdaptiveLocks/squashing,1000000,16000000,0.100,0.100,4128044.694,81631.573
LazyUnions/squashing,1000000,16000000,0.100,0.100,4188806.151,69518.587
Usual,1000000,64000000,0.100,0.100,4662547.725,40166.339
SeveralDSU,1000000,64000000,0.100,0.100,4716015.208,50357.196
ParallelUnions/halfing,1000000,64000000,0.100,0.100,4918001.846,66684.559
Adaptive/halfing,1000000,64000000,0.100,0.100,4478773.656,52222.368
AdaptiveLocks/halfing,1000000,64000000,0.100,0.100,4484998.048,57684.984
LazyUnions/halfing,1000000,64000000,0.100,0.100,4562146.047,27462.266
ParallelUnions/squashing,1000000,64000000,0.100,0.100,4889733.807,105861.668
Adaptive/squashing,1000000,64000000,0.100,0.100,4560471.199,43950.735
AdaptiveLocks/squashing,1000000,64000000,0.100,0.100,4524767.001,39751.043
LazyUnions/squashing,1000000,64000000,0.100,0.100,4574806.647,27246.708
Usual,1000000,4000000,0.300,0.100,1807432.927,336954.095
SeveralDSU,1000000,4000000,0.300,0.100,2234537.339,107316.997
ParallelUnions/halfing,1000000,4000000,0.300,0.100,2674767.969,91141.082
Adaptive/halfing,1000000,4000000,0.300,0.100,3084845.656,64197.150
AdaptiveLocks/halfing,1000000,4000000,0.300,0.100,2844135.626,65347.513
LazyUnions/halfing,1000000,4000000,0.300,0.100,2953760.102,57705.119
ParallelUnions/squashing,1000000,4000000,0.300,0.100,2229561.896,174409.283
Adaptive/squashing,1000000,4000000,0.300,0.100,2869285.030,88900.403
