DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/halfing,0,1000000,16000000,0.02,0,true,1525767.552,606895.732
Adaptive2/halfing:cross_node_read,0,1000000,16000000,0.02,0,true,24797174.500,16337367.676
Adaptive2/halfing:this_node_read,0,1000000,16000000,0.02,0,true,152831295.000,35245195.194
Adaptive2/halfing:cross_node_write,0,1000000,16000000,0.02,0,true,16974.667,61.412
Adaptive2/halfing:this_node_read_success,0,1000000,16000000,0.02,0,true,20484456.333,12679757.368
Adaptive2/halfing:this_node_write,0,1000000,16000000,0.02,0,true,983227.500,85.829
Adaptive2/halfing:global_data_read_write,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:same_set_requests_false,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive2/halfing:union_requests,0,1000000,16000000,0.02,0,true,16000000.000,0.000
Adaptive2/halfing,1,1000000,400,0.02,0.9999,true,1623495.064,669500.022
Adaptive2/halfing:cross_node_read,1,1000000,400,0.02,0.9999,true,6013550.667,4142413.515
Adaptive2/halfing:this_node_read,1,1000000,400,0.02,0.9999,true,35837224.833,8375069.447
Adaptive2/halfing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,1,1000000,400,0.02,0.9999,true,5135059.500,4316671.214
Adaptive2/halfing:this_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3606883.167,120193.996
Adaptive2/halfing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,392717.333,120177.871
Adaptive2/halfing:union_requests,1,1000000,400,0.02,0.9999,true,399.500,16.979
Adaptive2/halfing,2,1000000,400,0.02,0.9999,true,1846928.590,288770.186
Adaptive2/halfing:cross_node_read,2,1000000,400,0.02,0.9999,true,1331010.667,743464.542
Adaptive2/halfing:this_node_read,2,1000000,400,0.02,0.9999,true,17758279.000,354454.273
Adaptive2/halfing:cross_node_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,400,0.02,0.9999,true,233177.833,39141.266
Adaptive2/halfing:this_node_write,2,1000000,400,0.02,0.9999,true,967783.667,205080.395
Adaptive2/halfing:global_data_read_write,2,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,400,0.02,0.9999,true,3936543.000,19192.497
Adaptive2/halfing:same_set_requests_false,2,1000000,400,0.02,0.9999,true,63073.500,19196.574
Adaptive2/halfing:union_requests,2,1000000,400,0.02,0.9999,true,383.500,4.930
Adaptive3/halfing,0,1000000,16000000,0.02,0,true,1651714.447,429272.024
Adaptive3/halfing:cross_node_read,0,1000000,16000000,0.02,0,true,15727658.000,5863059.152
Adaptive3/halfing:this_node_read,0,1000000,16000000,0.02,0,true,136532806.167,14626771.272
Adaptive3/halfing:cross_node_write,0,1000000,16000000,0.02,0,true,16979.833,82.220
Adaptive3/halfing:this_node_read_success,0,1000000,16000000,0.02,0,true,12129550.667,3798029.547
Adaptive3/halfing:this_node_write,0,1000000,16000000,0.02,0,true,983231.500,78.028
Adaptive3/halfing:global_data_read_write,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:same_set_requests_false,0,1000000,16000000,0.02,0,true,0.000,0.000
Adaptive3/halfing:union_requests,0,1000000,16000000,0.02,0,true,16000000.000,0.000
Adaptive3/halfing,1,1000000,400,0.02,0.9999,true,804145.794,254342.932
Adaptive3/halfing:cross_node_read,1,1000000,400,0.02,0.9999,true,2523344.833,83339.991
Adaptive3/halfing:this_node_read,1,1000000,400,0.02,0.9999,true,15610895.333,729338.064
Adaptive3/halfing:cross_node_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,1,1000000,400,0.02,0.9999,true,13085678.833,645891.658
Adaptive3/halfing:this_node_write,1,1000000,400,0.02,0.9999,true,1053288.833,236894.386
Adaptive3/halfing:global_data_read_write,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1,1000000,400,0.02,0.9999,true,3999600.500,16.979
Adaptive3/halfing:same_set_requests_false,1,1000000,400,0.02,0.9999,true,0.000,0.000
Adaptive3/halfing:union_requests,1,1000000,400,0.02,0.9999,true,399.500,16.979
Adaptive3/halfing,2,1000000,400,0.02,0.9999,true,1044634.025,401386.594
Adaptive3/halfing:cross_node_read,2,1000000,400,0.02,0.9999,true,2120151.833,4992.240
