DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
Usual,1000000,4000000,0.100,0.100,1932038.358,360352.458
SeveralDSU,1000000,4000000,0.100,0.100,2105287.289,107793.350
ParallelUnions/halfing,1000000,4000000,0.100,0.100,2838303.438,274328.422
Adaptive/halfing,1000000,4000000,0.100,0.100,2724990.952,357369.064
AdaptiveLocks/halfing,1000000,4000000,0.100,0.100,3087505.803,215865.409
ParallelUnions/squashing,1000000,4000000,0.100,0.100,2508952.553,612832.517
Adaptive/squashing,1000000,4000000,0.100,0.100,2337572.352,896492.375
AdaptiveLocks/squashing,1000000,4000000,0.100,0.100,2907573.051,349125.715
Usual,1000000,16000000,0.100,0.100,3568145.327,84481.196
SeveralDSU,1000000,16000000,0.100,0.100,3750857.083,73073.493
ParallelUnions/halfing,1000000,16000000,0.100,0.100,4024354.268,101226.990
Adaptive/halfing,1000000,16000000,0.100,0.100,3880783.927,157333.792
AdaptiveLocks/halfing,1000000,16000000,0.100,0.100,4009496.025,79259.092
ParallelUnions/squashing,1000000,16000000,0.100,0.100,3968282.569,210239.071
Adaptive/squashing,1000000,16000000,0.100,0.100,3721328.177,301914.022
AdaptiveLocks/squashing,1000000,16000000,0.100,0.100,3975983.115,110860.917
Usual,1000000,64000000,0.100,0.100,4321671.461,81497.060
SeveralDSU,1000000,64000000,0.100,0.100,4375117.594,61354.063
ParallelUnions/halfing,1000000,64000000,0.100,0.100,4474673.711,76996.360
Adaptive/halfing,1000000,64000000,0.100,0.100,4248907.277,120252.514
AdaptiveLocks/halfing,1000000,64000000,0.100,0.100,4320192.507,61851.052
ParallelUnions/squashing,1000000,64000000,0.100,0.100,4419443.355,85612.174
Adaptive/squashing,1000000,64000000,0.100,0.100,4161682.380,86194.575
AdaptiveLocks/squashing,1000000,64000000,0.100,0.100,4309905.441,62576.185
Usual,1000000,4000000,0.300,0.100,1797103.375,204042.716
SeveralDSU,1000000,4000000,0.300,0.100,2235786.389,95707.038
ParallelUnions/halfing,1000000,4000000,0.300,0.100,2579950.822,45999.592
Adaptive/halfing,1000000,4000000,0.300,0.100,2596639.126,237332.182
AdaptiveLocks/halfing,1000000,4000000,0.300,0.100,2785717.982,66085.090
ParallelUnions/squashing,1000000,4000000,0.300,0.100,2098353.513,106307.031
Adaptive/squashing,1000000,4000000,0.300,0.100,2020491.473,284742.684
AdaptiveLocks/squashing,1000000,4000000,0.300,0.100,2577814.180,109138.507
Usual,1000000,16000000,0.300,0.100,3459571.262,198221.985
SeveralDSU,1000000,16000000,0.300,0.100,3557373.944,142010.453
ParallelUnions/halfing,1000000,16000000,0.300,0.100,3848589.134,115824.973
Adaptive/halfing,1000000,16000000,0.300,0.100,3648416.880,180808.758
AdaptiveLocks/halfing,1000000,16000000,0.300,0.100,3845742.456,78725.717
ParallelUnions/squashing,1000000,16000000,0.300,0.100,3695830.805,311009.332
Adaptive/squashing,1000000,16000000,0.300,0.100,3150528.027,348442.092
AdaptiveLocks/squashing,1000000,16000000,0.300,0.100,3768653.975,116340.629
Usual,1000000,64000000,0.300,0.100,4148385.798,144062.899
SeveralDSU,1000000,64000000,0.300,0.100,4238219.228,79050.457
ParallelUnions/halfing,1000000,64000000,0.300,0.100,4425815.344,73734.029
Adaptive/halfing,1000000,64000000,0.300,0.100,4240841.570,116441.429
AdaptiveLocks/halfing,1000000,64000000,0.300,0.100,4311571.233,60406.783
ParallelUnions/squashing,1000000,64000000,0.300,0.100,4443694.395,81533.724
Adaptive/squashing,1000000,64000000,0.300,0.100,4211108.365,97325.831
AdaptiveLocks/squashing,1000000,64000000,0.300,0.100,4293201.635,66088.329
Usual,1000000,4000000,0.500,0.100,1698990.268,278514.857
SeveralDSU,1000000,4000000,0.500,0.100,2140168.794,56274.207
ParallelUnions/halfing,1000000,4000000,0.500,0.100,2808993.402,54261.208
Adaptive/halfing,1000000,4000000,0.500,0.100,2788623.706,171726.417
AdaptiveLocks/halfing,1000000,4000000,0.500,0.100,2937932.379,65898.625
ParallelUnions/squashing,1000000,4000000,0.500,0.100,2842404.957,91121.858
Adaptive/squashing,1000000,4000000,0.500,0.100,2714191.827,244270.412
AdaptiveLocks/squashing,1000000,4000000,0.500,0.100,2889987.353,137578.241
Usual,1000000,16000000,0.500,0.100,3541531.370,131328.765
SeveralDSU,1000000,16000000,0.500,0.100,3518001.939,100525.665
ParallelUnions/halfing,1000000,16000000,0.500,0.100,3744608.349,81447.841
Adaptive/halfing,1000000,16000000,0.500,0.100,3571369.999,214479.304
AdaptiveLocks/halfing,1000000,16000000,0.500,0.100,3752455.940,65866.028
ParallelUnions/squashing,1000000,16000000,0.500,0.100,3422110.081,177580.466
Adaptive/squashing,1000000,16000000,0.500,0.100,2881884.866,429287.548
AdaptiveLocks/squashing,1000000,16000000,0.500,0.100,3614497.270,92212.443
Usual,1000000,64000000,0.500,0.100,4162036.380,91634.955
SeveralDSU,1000000,64000000,0.500,0.100,4230158.383,63033.560
ParallelUnions/halfing,1000000,64000000,0.500,0.100,4371860.047,70899.598
Adaptive/halfing,1000000,64000000,0.500,0.100,4163543.254,105114.787
AdaptiveLocks/halfing,1000000,64000000,0.500,0.100,4274558.891,58910.729
ParallelUnions/squashing,1000000,64000000,0.500,0.100,4263430.286,107295.320
Adaptive/squashing,1000000,64000000,0.500,0.100,3936489.717,221261.148
AdaptiveLocks/squashing,1000000,64000000,0.500,0.100,4194625.725,62968.331
Usual,1000000,4000000,0.100,0.200,1906170.741,323705.441
SeveralDSU,1000000,4000000,0.100,0.200,2412806.733,76509.469
ParallelUnions/halfing,1000000,4000000,0.100,0.200,2925857.380,80497.042
Adaptive/halfing,1000000,4000000,0.100,0.200,2900732.620,248345.771
AdaptiveLocks/halfing,1000000,4000000,0.100,0.200,3086714.802,176729.690
ParallelUnions/squashing,1000000,4000000,0.100,0.200,2710685.288,393856.224
Adaptive/squashing,1000000,4000000,0.100,0.200,2160833.198,284179.110
AdaptiveLocks/squashing,1000000,4000000,0.100,0.200,2964493.206,148822.787
Usual,1000000,16000000,0.100,0.200,3377436.464,217985.032
SeveralDSU,1000000,16000000,0.100,0.200,3705394.007,69127.145
ParallelUnions/halfing,1000000,16000000,0.100,0.200,4020314.988,126523.422
Adaptive/halfing,1000000,16000000,0.100,0.200,3889661.941,185807.790
AdaptiveLocks/halfing,1000000,16000000,0.100,0.200,3987012.473,90627.080
